tsne_1,tsne_2,split,target,perplexity
-64.98477,-41.734165,train,non-churn,10.0
7.9155264,-23.434698,train,non-churn,10.0
4.8300076,-8.826543,train,churn,10.0
41.47919,30.258757,train,non-churn,10.0
-4.0038185,-45.86574,train,non-churn,10.0
-39.73423,-8.802353,train,non-churn,10.0
22.541744,-8.636122,train,non-churn,10.0
46.8564,-3.3936806,train,non-churn,10.0
2.763274,53.283558,train,non-churn,10.0
17.477486,50.498924,train,non-churn,10.0
-66.28953,-0.11103122,train,non-churn,10.0
18.552286,8.747909,train,non-churn,10.0
-41.50258,-20.896053,train,non-churn,10.0
87.31983,2.5846643,train,churn,10.0
-21.860563,-21.646017,train,non-churn,10.0
-28.462246,-16.72794,train,churn,10.0
49.775608,-7.852985,train,non-churn,10.0
-55.2369,-32.977577,train,non-churn,10.0
56.2189,12.040254,train,non-churn,10.0
12.760592,6.138961,train,non-churn,10.0
6.4454985,-51.767166,train,non-churn,10.0
-16.27167,-8.172483,train,non-churn,10.0
-37.022293,7.865817,train,non-churn,10.0
16.267416,-31.993517,train,churn,10.0
55.813286,24.055319,train,churn,10.0
-14.874251,4.527202,train,non-churn,10.0
65.13102,26.00964,train,non-churn,10.0
-24.351418,-37.928482,train,non-churn,10.0
-32.5075,18.439007,train,non-churn,10.0
4.2004304,9.670997,train,non-churn,10.0
15.566644,41.23356,train,non-churn,10.0
-62.946613,-12.53076,train,non-churn,10.0
56.422752,24.163742,train,non-churn,10.0
-24.057966,-37.26112,train,non-churn,10.0
46.10171,-17.751913,train,non-churn,10.0
49.19349,-13.064568,train,non-churn,10.0
-30.376282,-28.506876,train,non-churn,10.0
82.822044,0.6810547,train,non-churn,10.0
67.1141,11.0136595,train,non-churn,10.0
-42.09383,7.3206844,train,non-churn,10.0
-52.14127,-17.133621,train,churn,10.0
4.572798,-43.359577,train,non-churn,10.0
-78.11687,-32.633793,train,non-churn,10.0
72.05017,-20.922688,train,non-churn,10.0
-10.172484,7.097911,train,non-churn,10.0
26.103865,61.013428,train,non-churn,10.0
-8.789468,-6.066954,train,non-churn,10.0
-48.69448,-8.7104025,train,non-churn,10.0
-76.82235,-5.990424,train,churn,10.0
87.33524,-19.35513,train,non-churn,10.0
50.29489,-2.1749945,train,non-churn,10.0
-7.10511,22.22128,train,non-churn,10.0
-48.911827,19.95333,train,non-churn,10.0
66.89148,24.213766,train,non-churn,10.0
-45.335617,31.923527,train,non-churn,10.0
10.454716,-41.412174,train,non-churn,10.0
72.75277,-9.843914,train,non-churn,10.0
83.77996,16.608776,train,non-churn,10.0
-51.069633,-6.796247,train,non-churn,10.0
38.83404,4.9322834,train,non-churn,10.0
-52.826653,3.8669498,train,non-churn,10.0
4.8892255,-35.657513,train,non-churn,10.0
-4.662398,44.854218,train,non-churn,10.0
-48.55053,2.4031975,train,non-churn,10.0
-7.238959,3.6103735,train,non-churn,10.0
30.157469,-35.830204,train,non-churn,10.0
61.503452,27.109392,train,non-churn,10.0
-7.313593,0.31029323,train,churn,10.0
35.930534,-15.830255,train,non-churn,10.0
-56.727787,-46.08574,train,non-churn,10.0
-12.065402,-32.23048,train,non-churn,10.0
16.075672,46.895138,train,non-churn,10.0
-26.819012,49.5141,train,non-churn,10.0
-15.695385,-39.02299,train,non-churn,10.0
-33.171104,24.19892,train,non-churn,10.0
13.654079,-58.67274,train,non-churn,10.0
-6.9470334,-59.04319,train,non-churn,10.0
-7.1343594,-25.754631,train,non-churn,10.0
-73.44312,0.69779325,train,non-churn,10.0
68.762054,-10.172052,train,non-churn,10.0
65.5749,-17.755083,train,non-churn,10.0
11.240443,52.266644,train,non-churn,10.0
63.264057,32.858105,train,churn,10.0
-43.87583,36.473766,train,non-churn,10.0
60.798996,37.79746,train,non-churn,10.0
-57.89815,-25.220175,train,non-churn,10.0
3.856026,35.52989,train,non-churn,10.0
-5.9320993,-17.036882,train,non-churn,10.0
2.8370419,-57.7314,train,non-churn,10.0
56.537437,7.7527986,train,non-churn,10.0
-16.077888,33.622433,train,non-churn,10.0
-50.82509,-18.158482,train,non-churn,10.0
-33.64312,-28.621008,train,non-churn,10.0
19.538698,38.50239,train,non-churn,10.0
37.806477,5.0419025,train,non-churn,10.0
49.462845,-20.298092,train,non-churn,10.0
-71.61505,5.016433,train,churn,10.0
6.264196,40.080215,train,non-churn,10.0
-50.673267,-27.201075,train,non-churn,10.0
3.7889814,35.449123,train,non-churn,10.0
-80.720276,-5.2970095,train,churn,10.0
10.227635,51.349655,train,non-churn,10.0
0.5727275,29.28291,train,non-churn,10.0
62.964794,-31.053457,train,non-churn,10.0
-33.03187,41.362263,train,non-churn,10.0
-54.64357,-19.617388,train,non-churn,10.0
9.292334,-24.454578,train,non-churn,10.0
67.22867,10.712091,train,non-churn,10.0
58.23074,31.989758,train,non-churn,10.0
-80.76331,-21.195421,train,churn,10.0
78.93299,-5.5673985,train,non-churn,10.0
-24.114546,-37.27326,train,non-churn,10.0
-52.38599,-26.915491,train,non-churn,10.0
-31.756035,-50.514107,train,non-churn,10.0
56.290146,-24.841139,train,non-churn,10.0
-15.015831,-4.280103,train,non-churn,10.0
-5.182675,22.751291,train,non-churn,10.0
-66.66415,-37.06759,train,non-churn,10.0
-45.710575,-44.519684,train,churn,10.0
-36.62999,21.77526,train,non-churn,10.0
7.700825,-23.556013,train,non-churn,10.0
-28.21336,-67.31227,train,churn,10.0
-27.04427,32.99658,train,non-churn,10.0
66.32399,-30.578215,train,non-churn,10.0
-75.65843,11.886243,train,non-churn,10.0
44.19876,-16.25532,train,churn,10.0
5.5513573,47.473904,train,non-churn,10.0
7.694215,38.412907,train,non-churn,10.0
-36.020443,-56.535313,train,non-churn,10.0
-38.424976,-15.922281,train,non-churn,10.0
27.981785,34.153294,train,non-churn,10.0
-34.499916,40.403656,train,non-churn,10.0
62.56707,-3.102014,train,non-churn,10.0
-42.76497,-2.522074,train,non-churn,10.0
-27.15022,-9.711651,train,non-churn,10.0
68.94888,-21.466469,train,non-churn,10.0
67.8513,24.284586,train,non-churn,10.0
-49.79856,-16.384153,train,non-churn,10.0
-36.26411,-48.396976,train,non-churn,10.0
-66.20184,-2.2924378,train,non-churn,10.0
-2.1477864,-0.05044847,train,non-churn,10.0
35.047535,-18.139065,train,non-churn,10.0
-30.870827,-31.85711,train,non-churn,10.0
62.152847,0.76075894,train,non-churn,10.0
-71.95973,-31.219992,train,non-churn,10.0
68.262375,-21.61098,train,non-churn,10.0
6.9180474,29.790344,train,non-churn,10.0
41.301243,8.179315,train,non-churn,10.0
83.048515,-0.76046145,train,non-churn,10.0
2.737356,19.007135,train,non-churn,10.0
11.291487,-43.83131,train,non-churn,10.0
-34.00438,-20.419374,train,non-churn,10.0
-43.686302,-30.797424,train,non-churn,10.0
-13.237238,-51.201874,train,non-churn,10.0
-8.287182,24.136848,train,non-churn,10.0
68.5577,-31.352411,train,non-churn,10.0
-51.197105,-10.090322,train,non-churn,10.0
-16.897905,-14.135114,train,non-churn,10.0
-75.42801,18.7415,train,non-churn,10.0
14.232406,37.48262,train,non-churn,10.0
-9.746297,31.589293,train,non-churn,10.0
-6.5003033,-39.1357,train,non-churn,10.0
25.562025,36.361137,train,non-churn,10.0
18.03178,-48.72029,train,non-churn,10.0
16.601748,53.93941,train,churn,10.0
-49.285656,-31.696665,train,non-churn,10.0
18.08149,-48.908367,train,non-churn,10.0
-62.72084,31.814074,train,churn,10.0
71.40577,22.834484,train,non-churn,10.0
-47.454212,5.9486737,train,non-churn,10.0
-42.70461,53.799118,train,non-churn,10.0
-58.96475,-10.434891,train,non-churn,10.0
-42.525284,54.405045,train,non-churn,10.0
44.690426,3.5773125,train,non-churn,10.0
47.883556,15.662346,train,non-churn,10.0
68.121414,26.887983,train,non-churn,10.0
69.90812,-4.039495,train,churn,10.0
-38.125454,18.145119,train,non-churn,10.0
64.406494,-25.09958,train,non-churn,10.0
-37.49961,0.6342656,train,non-churn,10.0
-38.82398,-20.182377,train,non-churn,10.0
1.9141498,56.046368,train,non-churn,10.0
47.323475,0.38375458,train,non-churn,10.0
74.15405,16.164783,train,non-churn,10.0
-68.76678,1.4827925,train,non-churn,10.0
18.616932,-21.219093,train,non-churn,10.0
12.621977,-10.895417,train,non-churn,10.0
-43.253006,12.932964,train,churn,10.0
23.743616,12.31208,train,churn,10.0
-2.5673187,-11.008197,train,non-churn,10.0
-30.302135,7.7831993,train,non-churn,10.0
49.54418,-13.674697,train,non-churn,10.0
-26.411339,-22.89455,train,non-churn,10.0
-30.651293,17.12728,train,non-churn,10.0
-38.820892,8.855542,train,non-churn,10.0
-39.771057,-33.166115,train,churn,10.0
12.5771,49.84558,train,non-churn,10.0
42.665646,-18.538471,train,non-churn,10.0
28.613485,-44.195084,train,non-churn,10.0
54.09194,-18.518713,train,non-churn,10.0
10.954197,34.030296,train,non-churn,10.0
49.134895,-19.608603,train,non-churn,10.0
15.233052,41.771877,train,non-churn,10.0
46.54761,21.954762,train,non-churn,10.0
28.471407,-3.2415433,train,churn,10.0
3.8708706,39.671932,train,non-churn,10.0
70.524864,-5.967484,train,non-churn,10.0
-7.815762,23.615002,train,non-churn,10.0
0.19889955,47.308655,train,non-churn,10.0
-74.54968,21.966185,train,non-churn,10.0
45.65761,15.576031,train,non-churn,10.0
43.15798,7.565681,train,non-churn,10.0
45.21723,3.5530405,train,non-churn,10.0
19.504787,60.54008,train,churn,10.0
78.11175,2.696675,train,non-churn,10.0
-5.716781,-35.436012,train,non-churn,10.0
-9.309809,60.99885,train,churn,10.0
12.750734,-11.233503,train,non-churn,10.0
-54.315094,31.024084,train,non-churn,10.0
-48.732857,41.280247,train,non-churn,10.0
-56.042233,6.3071365,train,non-churn,10.0
-17.129015,35.983826,train,non-churn,10.0
-44.373245,-32.14298,train,churn,10.0
-53.740036,32.60418,train,non-churn,10.0
-33.35599,4.9644427,train,non-churn,10.0
0.9063222,53.252556,train,non-churn,10.0
18.90839,46.44541,train,non-churn,10.0
-23.089844,-13.706919,train,churn,10.0
6.2899647,-32.352745,train,non-churn,10.0
-61.859383,0.3758121,train,non-churn,10.0
-61.76367,-7.379148,train,non-churn,10.0
-3.5776374,-53.115856,train,non-churn,10.0
65.14046,6.144946,train,non-churn,10.0
0.26886624,2.2378106,train,non-churn,10.0
8.471891,31.238003,train,non-churn,10.0
-39.403893,15.552988,train,non-churn,10.0
-42.59447,44.86736,train,non-churn,10.0
1.4934719,-66.184326,train,non-churn,10.0
-54.273582,35.157593,train,non-churn,10.0
20.88288,9.920782,train,non-churn,10.0
4.854007,-20.794744,train,non-churn,10.0
-45.282177,5.2476363,train,churn,10.0
52.938408,-16.280388,train,non-churn,10.0
-21.23005,-6.4573646,train,non-churn,10.0
-51.13408,-24.835497,train,churn,10.0
77.991455,-1.2979258,train,non-churn,10.0
-62.57985,-32.701103,train,non-churn,10.0
-78.34795,-3.1409314,train,non-churn,10.0
-13.991683,33.101574,train,non-churn,10.0
-80.85379,-21.689451,train,non-churn,10.0
-25.051367,30.62883,train,non-churn,10.0
14.849506,7.2547774,train,churn,10.0
-36.017727,-56.462147,train,non-churn,10.0
11.40328,-31.46931,train,non-churn,10.0
-23.022497,32.206787,train,non-churn,10.0
9.91288,32.401424,train,non-churn,10.0
-19.796944,7.006942,train,non-churn,10.0
24.89875,-50.275627,train,churn,10.0
22.617918,-43.11808,train,churn,10.0
55.19297,-31.176338,train,non-churn,10.0
-10.018433,-18.387213,train,non-churn,10.0
41.19293,-27.8569,train,non-churn,10.0
-53.323555,3.5291834,train,non-churn,10.0
-58.496162,3.6595047,train,non-churn,10.0
51.499664,22.1294,train,non-churn,10.0
-5.134311,-4.658324,train,non-churn,10.0
39.30611,-17.338415,train,non-churn,10.0
-57.156277,-29.413647,train,non-churn,10.0
-65.50651,28.948774,train,churn,10.0
-24.615389,-30.3341,train,non-churn,10.0
-46.86193,-12.977332,train,non-churn,10.0
-30.5974,-43.53714,train,non-churn,10.0
76.78077,-15.904679,train,non-churn,10.0
54.282417,12.496573,train,non-churn,10.0
-31.00811,-38.401165,train,non-churn,10.0
-38.93193,-33.700916,train,churn,10.0
-27.910187,-27.358295,train,non-churn,10.0
43.102913,-30.074417,train,non-churn,10.0
-30.448824,-9.895665,train,non-churn,10.0
44.463223,6.844952,train,non-churn,10.0
-78.62514,-3.1138134,train,non-churn,10.0
-16.111254,46.89902,train,non-churn,10.0
-34.745163,52.61118,train,non-churn,10.0
-27.197622,23.129549,train,non-churn,10.0
-39.833855,-56.66462,train,non-churn,10.0
78.01342,-15.252254,train,non-churn,10.0
-61.14962,21.546799,train,churn,10.0
-80.34174,-5.3292956,train,churn,10.0
-16.716764,-14.609682,train,non-churn,10.0
76.70001,24.630114,train,non-churn,10.0
-24.037895,-1.2851818,train,non-churn,10.0
0.61354864,16.53436,train,non-churn,10.0
-38.241375,18.329966,train,non-churn,10.0
82.31837,-3.4263728,train,non-churn,10.0
-72.917885,-23.93973,train,churn,10.0
65.319496,25.978264,train,churn,10.0
-44.96542,-27.704525,train,non-churn,10.0
40.59064,19.430418,train,non-churn,10.0
-71.4552,11.779417,train,non-churn,10.0
-5.957876,-13.030474,train,non-churn,10.0
15.930675,-36.626194,train,non-churn,10.0
47.46227,8.43735,train,churn,10.0
-5.6249533,-18.217457,train,non-churn,10.0
-32.029945,23.287127,train,non-churn,10.0
57.745434,26.533255,train,non-churn,10.0
-17.985779,-9.230106,train,non-churn,10.0
-59.915607,-3.3859143,train,non-churn,10.0
3.849254,-45.834156,train,non-churn,10.0
-75.11944,15.885333,train,non-churn,10.0
20.957731,42.982292,train,non-churn,10.0
6.801486,9.864622,train,non-churn,10.0
36.335426,12.655747,train,non-churn,10.0
-41.653114,22.750301,train,non-churn,10.0
27.093935,-40.4447,train,non-churn,10.0
-34.871094,-13.218741,train,non-churn,10.0
-40.253635,49.699512,train,churn,10.0
-29.128628,24.038496,train,non-churn,10.0
6.767003,36.45514,train,non-churn,10.0
57.72097,-6.087383,train,non-churn,10.0
-32.157677,-34.22334,train,non-churn,10.0
11.390923,-13.660045,train,non-churn,10.0
86.96143,-6.8481116,train,non-churn,10.0
-39.383194,6.9286904,train,churn,10.0
81.92704,-25.180601,train,non-churn,10.0
10.639608,57.929718,train,non-churn,10.0
-24.468538,26.719812,train,non-churn,10.0
59.921234,3.5407064,train,non-churn,10.0
91.32982,10.8420725,train,non-churn,10.0
56.07741,31.22225,train,churn,10.0
58.958813,4.561915,train,non-churn,10.0
-23.558716,-18.826199,train,non-churn,10.0
-16.716747,36.62541,train,non-churn,10.0
63.254395,2.176605,train,non-churn,10.0
34.932533,-11.073456,train,churn,10.0
53.023697,-36.95321,train,non-churn,10.0
-34.207783,-37.180668,train,non-churn,10.0
-27.901186,-10.356679,train,non-churn,10.0
-19.28936,30.502857,train,non-churn,10.0
-47.927074,-52.290318,train,non-churn,10.0
27.612522,-1.4026963,train,churn,10.0
51.2619,36.68834,train,non-churn,10.0
-12.815806,-0.29240182,train,non-churn,10.0
-6.189485,-4.097164,train,non-churn,10.0
-48.074276,1.0538238,train,non-churn,10.0
-33.323154,45.119633,train,non-churn,10.0
-36.97345,-25.12277,train,non-churn,10.0
62.271255,9.324301,train,non-churn,10.0
0.5817961,5.2442513,train,non-churn,10.0
74.435196,-12.291885,train,non-churn,10.0
46.655704,-12.326956,train,non-churn,10.0
-33.86642,-9.807275,train,non-churn,10.0
51.651814,-24.174858,train,non-churn,10.0
70.46431,10.442269,train,non-churn,10.0
-43.836197,49.246513,train,non-churn,10.0
36.80302,13.384339,train,non-churn,10.0
45.270565,33.145638,train,churn,10.0
78.84454,-1.3133633,train,non-churn,10.0
62.025417,6.761898,train,non-churn,10.0
70.34086,34.381893,train,non-churn,10.0
20.516037,-8.681401,train,churn,10.0
-62.734295,33.979935,train,churn,10.0
-29.450264,46.280098,train,non-churn,10.0
-22.759165,-19.555037,train,non-churn,10.0
56.078537,-16.747824,train,non-churn,10.0
-27.576263,-25.313503,train,non-churn,10.0
78.42092,-14.317999,train,non-churn,10.0
-14.011597,20.432907,train,churn,10.0
-11.753589,16.110777,train,non-churn,10.0
33.275925,-24.711016,train,non-churn,10.0
77.529915,13.464214,train,non-churn,10.0
-7.505889,-54.984573,train,non-churn,10.0
74.28146,0.46275082,train,non-churn,10.0
15.495738,-13.815337,train,non-churn,10.0
16.532393,31.461739,train,non-churn,10.0
16.706675,19.26086,train,non-churn,10.0
83.15979,9.109883,train,churn,10.0
-52.644302,-26.762602,train,non-churn,10.0
62.023766,-25.262535,train,non-churn,10.0
-40.202526,-64.648186,train,non-churn,10.0
73.16798,0.030390376,train,non-churn,10.0
71.582634,-10.026151,train,non-churn,10.0
-32.585278,-3.7888412,train,non-churn,10.0
-31.11695,-43.46383,train,non-churn,10.0
67.56726,7.668303,train,non-churn,10.0
78.81127,6.608711,train,non-churn,10.0
-28.516539,0.39484292,train,churn,10.0
73.03777,33.534595,train,non-churn,10.0
-5.3609576,-1.9648094,train,non-churn,10.0
-3.9694123,-60.287663,train,non-churn,10.0
-11.742693,42.088974,train,churn,10.0
-51.96162,45.537045,train,non-churn,10.0
-30.631535,13.983645,train,non-churn,10.0
26.965965,58.487225,train,non-churn,10.0
-29.330877,-32.784912,train,non-churn,10.0
-26.828056,49.770363,train,non-churn,10.0
80.87019,23.514679,train,non-churn,10.0
-66.76062,15.044441,train,non-churn,10.0
29.212797,-44.536747,train,non-churn,10.0
-11.007153,-8.879036,train,non-churn,10.0
-35.836113,34.2357,train,non-churn,10.0
83.44292,1.0617743,train,non-churn,10.0
-12.253325,-14.592996,train,non-churn,10.0
-24.364225,4.638866,train,churn,10.0
10.59141,-37.911808,train,non-churn,10.0
-49.955563,51.494514,train,non-churn,10.0
-11.569736,61.313328,train,churn,10.0
17.921398,-18.805265,train,non-churn,10.0
-54.59083,-29.98565,train,non-churn,10.0
-75.96287,11.331815,train,non-churn,10.0
-19.35468,-35.63993,train,non-churn,10.0
76.967384,23.489698,train,non-churn,10.0
61.385464,-2.8604474,train,non-churn,10.0
6.4838715,-45.47336,train,non-churn,10.0
-66.02131,-27.229126,train,churn,10.0
-40.147335,-27.748343,train,non-churn,10.0
-25.178057,-9.379579,train,non-churn,10.0
-10.546596,3.0521832,train,non-churn,10.0
-32.6725,-5.225418,train,non-churn,10.0
70.08004,-30.663305,train,churn,10.0
0.97796816,11.678623,train,non-churn,10.0
7.667751,-4.6050987,train,non-churn,10.0
-76.497,-7.118158,train,churn,10.0
-42.83744,-11.686998,train,non-churn,10.0
4.6068172,-56.83024,train,non-churn,10.0
47.509285,7.879711,train,non-churn,10.0
52.683865,-23.389235,train,non-churn,10.0
-70.4112,19.450726,train,non-churn,10.0
44.906982,31.050615,train,non-churn,10.0
58.024815,-0.0840933,train,non-churn,10.0
73.20287,5.8714075,train,non-churn,10.0
-24.661476,-9.117717,train,non-churn,10.0
-30.41875,29.575214,train,non-churn,10.0
22.9961,48.749252,train,non-churn,10.0
-54.795902,-31.994738,train,non-churn,10.0
79.78944,-11.660702,train,non-churn,10.0
57.00416,13.6490965,train,non-churn,10.0
-31.95945,35.734074,train,non-churn,10.0
47.840305,-5.2466645,train,non-churn,10.0
-4.065587,-19.130451,train,churn,10.0
-12.8871565,-33.729168,train,non-churn,10.0
-30.367771,-16.521524,train,non-churn,10.0
69.42239,35.919186,train,non-churn,10.0
56.03228,-8.219392,train,non-churn,10.0
-46.378284,-53.9157,train,non-churn,10.0
-26.832188,33.244534,train,non-churn,10.0
14.385056,-38.078266,train,non-churn,10.0
-41.052883,2.483139,train,non-churn,10.0
15.281128,-15.283062,train,non-churn,10.0
4.1336145,-36.14438,train,non-churn,10.0
86.94156,17.250547,train,non-churn,10.0
-47.410942,-53.320545,train,non-churn,10.0
-44.501217,-38.334503,train,non-churn,10.0
91.114136,5.728068,train,non-churn,10.0
7.239406,-46.21525,train,non-churn,10.0
-4.504979,-15.1514015,train,non-churn,10.0
-82.94745,7.7953377,train,non-churn,10.0
-18.88967,-22.588186,train,non-churn,10.0
-33.36895,30.544056,train,non-churn,10.0
18.789724,58.87804,train,churn,10.0
73.15685,33.25325,train,non-churn,10.0
62.50239,-36.31186,train,non-churn,10.0
-2.7153444,45.174355,train,non-churn,10.0
-49.750664,-54.749115,train,non-churn,10.0
5.547554,-10.008777,train,non-churn,10.0
-12.340105,34.22958,train,non-churn,10.0
-1.4958665,50.939426,train,non-churn,10.0
10.412493,58.26104,train,non-churn,10.0
-0.3098203,22.275246,train,non-churn,10.0
-13.086022,-51.15082,train,non-churn,10.0
13.6340065,-58.83169,train,non-churn,10.0
-62.53081,-7.128924,train,non-churn,10.0
59.708054,3.3604734,train,non-churn,10.0
2.7929084,-28.956491,train,non-churn,10.0
-11.759001,-13.787497,train,non-churn,10.0
6.9098845,-37.712654,train,non-churn,10.0
63.144943,22.144209,train,non-churn,10.0
4.712147,-22.441238,train,non-churn,10.0
-51.059586,-14.819001,train,non-churn,10.0
22.87389,34.478203,train,non-churn,10.0
25.710749,-43.553463,train,non-churn,10.0
66.31281,-4.4002476,train,non-churn,10.0
82.03138,-21.361298,train,non-churn,10.0
-0.98229235,2.544124,train,non-churn,10.0
-17.554995,-38.75689,train,non-churn,10.0
-50.865612,-15.978085,train,non-churn,10.0
68.64407,-30.673107,train,non-churn,10.0
-21.831427,-41.80702,train,non-churn,10.0
-55.44973,-45.432274,train,non-churn,10.0
89.51926,7.84912,train,non-churn,10.0
-50.75758,31.848703,train,non-churn,10.0
7.4081926,19.314032,train,non-churn,10.0
4.6443315,13.166347,train,churn,10.0
-18.70935,22.383343,train,non-churn,10.0
-2.484402,13.714938,train,non-churn,10.0
45.761017,-16.457048,train,non-churn,10.0
55.21217,0.6378195,train,non-churn,10.0
1.0651934,-66.99588,train,non-churn,10.0
2.287324,38.476284,train,churn,10.0
-58.135925,-14.547164,train,churn,10.0
-54.677227,25.564413,train,non-churn,10.0
20.519447,52.240005,train,non-churn,10.0
66.21735,3.1486166,train,non-churn,10.0
-41.10066,-65.308205,train,non-churn,10.0
61.17594,29.765463,train,non-churn,10.0
9.115298,-45.309937,train,non-churn,10.0
-0.5948054,2.7321825,train,non-churn,10.0
38.208984,-9.753978,train,non-churn,10.0
-26.043497,12.275965,train,non-churn,10.0
-12.636765,-40.21724,train,non-churn,10.0
6.2018485,-11.005177,train,non-churn,10.0
66.19868,12.839063,train,non-churn,10.0
63.09846,-31.521832,train,non-churn,10.0
40.884945,9.3148155,train,non-churn,10.0
-30.717491,24.831575,train,non-churn,10.0
-21.176641,-20.18185,train,non-churn,10.0
12.2465925,67.6522,train,non-churn,10.0
-33.960716,-12.468354,train,non-churn,10.0
88.20475,15.69208,train,non-churn,10.0
-1.4541323,-11.784539,train,non-churn,10.0
-17.7189,25.100687,train,non-churn,10.0
23.77635,-28.954706,train,non-churn,10.0
66.49343,-24.593975,train,non-churn,10.0
12.846984,31.713533,train,non-churn,10.0
-79.0308,-24.7383,train,churn,10.0
43.352066,-30.889103,train,non-churn,10.0
7.449959,-22.029306,train,non-churn,10.0
-29.836645,-8.466557,train,non-churn,10.0
-3.0255961,-31.53034,train,non-churn,10.0
-3.5707827,20.468922,train,non-churn,10.0
-29.22026,-48.737328,train,churn,10.0
-50.641132,-23.82627,train,non-churn,10.0
78.91523,-17.176077,train,non-churn,10.0
65.45621,-4.1779437,train,non-churn,10.0
45.76455,32.544617,train,non-churn,10.0
17.577236,23.13901,train,non-churn,10.0
-32.59881,-48.951485,train,non-churn,10.0
-11.950771,-6.300653,train,non-churn,10.0
0.11842504,-16.359116,train,non-churn,10.0
-44.603226,4.1379204,train,non-churn,10.0
-40.537575,11.981928,train,churn,10.0
-37.52169,-4.4490995,train,non-churn,10.0
-3.6817439,-35.375896,train,non-churn,10.0
95.1823,-13.897339,train,churn,10.0
-44.012745,49.395344,train,non-churn,10.0
-69.062874,0.4878354,train,non-churn,10.0
-22.240784,-15.758854,train,non-churn,10.0
59.581963,14.711629,train,non-churn,10.0
84.5941,8.426871,train,non-churn,10.0
53.364426,-21.59464,train,non-churn,10.0
72.122116,-10.684723,train,non-churn,10.0
-8.574079,37.67609,train,non-churn,10.0
-41.294228,20.301426,train,non-churn,10.0
-33.211792,-20.342188,train,non-churn,10.0
