tsne_1,tsne_2,split,target
53.21298,10.74669,train,non-churn
2.9788816,-18.658497,train,non-churn
15.152238,-28.765821,train,churn
-8.190834,28.343508,train,non-churn
-38.30138,-15.31494,train,non-churn
-25.905413,27.218184,train,non-churn
-47.04033,-4.9264226,train,non-churn
-21.674273,12.066413,train,non-churn
-18.712885,-26.403112,train,churn
-34.196136,20.63254,train,non-churn
-37.16201,0.74661976,train,non-churn
10.709273,-22.634954,train,non-churn
19.758472,-10.460345,train,non-churn
-21.201757,25.260727,train,churn
-9.359664,-19.814098,train,non-churn
-55.20288,-15.207118,train,non-churn
-31.894594,-18.290749,train,non-churn
-8.885479,-28.691603,train,non-churn
61.843655,21.300789,train,non-churn
-17.419306,14.9426155,train,non-churn
10.79349,7.0237064,train,non-churn
-35.02692,2.2527587,train,non-churn
-26.812399,24.62053,train,non-churn
1.7826217,-35.352905,train,non-churn
-44.578976,2.8222466,train,non-churn
14.007236,16.006527,train,non-churn
-3.468745,15.246976,train,non-churn
-41.170033,-1.46668,train,churn
43.1218,-17.131996,train,non-churn
-10.323113,-11.361004,train,non-churn
-29.601,-8.130463,train,churn
53.430702,12.781523,train,non-churn
-44.44796,-25.821033,train,non-churn
-53.43935,-6.6971545,train,non-churn
8.615149,18.828157,train,non-churn
-49.411423,-15.593954,train,non-churn
-18.994764,-8.61855,train,non-churn
6.3493767,29.258736,train,churn
-21.509369,35.613857,train,non-churn
1.399615,-13.305412,train,non-churn
-18.994722,-7.3372784,train,non-churn
9.276988,6.04588,train,non-churn
-19.095789,-12.381928,train,non-churn
-36.463936,2.7781956,train,churn
-7.233558,-27.12777,train,churn
48.66648,-16.78194,train,non-churn
-14.927741,18.879187,train,non-churn
37.043087,-13.548603,train,non-churn
-46.04176,-2.2612765,train,non-churn
-45.785522,-7.608584,train,non-churn
42.838562,0.79620403,train,non-churn
1.5625533,-26.311274,train,non-churn
35.22335,-5.590283,train,non-churn
-30.645998,-7.1094766,train,non-churn
-45.710598,11.369636,train,churn
-18.33995,27.78964,train,non-churn
-20.855186,-28.815777,train,non-churn
-14.977401,-3.8846064,train,non-churn
63.855118,0.9815244,train,non-churn
51.988316,22.390797,train,non-churn
-19.137468,20.404417,train,non-churn
-15.920438,-21.655975,train,churn
-19.143354,29.737267,train,non-churn
39.59651,-14.029779,train,non-churn
-15.012844,26.998602,train,non-churn
48.948105,16.453695,train,non-churn
-53.823086,-6.9199743,train,non-churn
-23.942738,-40.591915,train,non-churn
-23.393353,29.897778,train,non-churn
-31.910889,5.6581507,train,non-churn
-6.1346397,11.950234,train,non-churn
63.70378,1.9561573,train,non-churn
-43.60149,7.2267284,train,churn
-55.054047,-8.3073,train,churn
-6.039974,19.83111,train,non-churn
40.981853,13.3778925,train,non-churn
-13.881651,-13.52686,train,non-churn
-51.076725,-4.457659,train,non-churn
-33.186047,11.390475,train,non-churn
60.63485,5.220544,train,non-churn
-21.43948,-1.3123368,train,churn
44.965378,0.7015168,train,churn
-21.681988,-19.051546,train,non-churn
46.27928,26.916666,train,non-churn
-43.50779,-16.219564,train,non-churn
-0.46326002,21.896141,train,non-churn
-0.61517006,-28.869806,train,non-churn
50.70749,17.775301,train,churn
-16.074274,-37.839233,train,non-churn
-34.958603,6.1212134,train,non-churn
39.65241,10.96072,train,non-churn
-6.5450096,-31.951124,train,non-churn
-27.269247,-26.723625,train,non-churn
6.380682,1.8710486,train,non-churn
-42.776737,-21.06878,train,non-churn
19.076195,-9.426888,train,non-churn
-44.15225,19.304277,train,non-churn
47.276546,19.891008,train,non-churn
-35.51982,16.559357,train,non-churn
4.0435,42.231255,train,non-churn
-38.235218,-10.771305,train,non-churn
-24.782358,19.661789,train,churn
-32.937775,6.167882,train,non-churn
8.696039,-17.273993,train,non-churn
43.93211,13.938646,train,non-churn
-16.695202,-7.263438,train,non-churn
-8.992628,26.601536,train,non-churn
66.5337,8.452957,train,non-churn
-50.09313,11.374891,train,churn
66.753296,-5.4988585,train,non-churn
18.765886,-20.160006,train,non-churn
-20.647997,-8.27458,train,non-churn
57.069847,-16.856892,train,non-churn
67.649765,15.3959255,train,non-churn
34.58056,12.917896,train,churn
56.075867,-17.918066,train,non-churn
-7.2108765,21.53735,train,non-churn
-21.057407,12.162308,train,non-churn
59.718052,17.731781,train,non-churn
37.773182,-6.914032,train,churn
53.504467,-20.22147,train,non-churn
-17.43369,20.252861,train,non-churn
-36.547695,-3.899981,train,non-churn
-22.951666,7.925264,train,non-churn
-44.494053,-5.284165,train,non-churn
14.805408,24.329124,train,churn
32.440315,21.431995,train,non-churn
-7.5699167,0.864504,train,non-churn
2.2302265,-27.028227,train,non-churn
-32.55359,-2.4432309,train,non-churn
-24.133255,13.159103,train,non-churn
-26.46717,35.209507,train,non-churn
59.90188,11.236287,train,non-churn
-17.790297,12.194798,train,non-churn
56.47367,-3.9396036,train,non-churn
40.847515,0.7711333,train,non-churn
-17.713497,33.080868,train,non-churn
43.77126,-5.8955274,train,non-churn
53.496227,-14.040864,train,non-churn
-29.160892,21.166649,train,non-churn
47.342926,20.462084,train,non-churn
31.866663,16.56753,train,churn
58.751225,5.112478,train,non-churn
60.536327,19.42637,train,non-churn
52.756104,-3.7658637,train,non-churn
8.202219,17.113382,train,churn
-42.55236,18.05685,train,churn
-30.82057,34.352417,train,non-churn
-8.331254,21.197748,train,non-churn
49.929604,-8.194212,train,non-churn
-35.73499,-7.730583,train,non-churn
60.357384,12.854603,train,non-churn
-22.324093,16.872793,train,churn
-6.0599527,-29.70616,train,non-churn
37.446796,26.32455,train,non-churn
55.202908,8.8601055,train,non-churn
-12.020313,-31.230938,train,non-churn
59.27188,13.739399,train,non-churn
-4.465409,27.646654,train,non-churn
3.734658,-7.0125175,train,non-churn
4.072615,12.8671665,train,non-churn
53.293148,6.3262835,train,churn
-32.644497,-5.14567,train,non-churn
58.367786,-3.2151423,train,non-churn
-38.621277,30.413898,train,non-churn
58.323284,13.541681,train,non-churn
53.907684,-1.6566725,train,non-churn
-13.223059,34.52584,train,non-churn
-14.297819,-4.2939787,train,non-churn
56.69145,18.074068,train,non-churn
55.650974,11.7385645,train,non-churn
-41.748653,15.869057,train,churn
51.8903,-5.0393176,train,non-churn
9.507175,-15.302836,train,non-churn
-17.10828,-30.01931,train,non-churn
-48.813854,-6.611853,train,churn
-27.623142,28.956362,train,non-churn
-40.593914,4.7195325,train,non-churn
23.174782,-14.716737,train,non-churn
-7.60225,23.369102,train,non-churn
-21.649975,3.1422284,train,non-churn
47.18649,5.362396,train,non-churn
-38.02127,-17.939304,train,non-churn
7.459196,42.242863,train,non-churn
-9.937874,-2.3190815,train,non-churn
-25.877316,6.161231,train,non-churn
61.119423,6.272786,train,non-churn
-7.892699,-4.3778744,train,non-churn
-25.844496,-5.1479325,train,churn
-5.8529825,-23.33051,train,non-churn
-27.442966,21.133007,train,non-churn
14.625851,-29.650202,train,churn
5.491629,-0.7730347,train,non-churn
-30.354836,-4.8795767,train,non-churn
-41.177258,-23.851652,train,non-churn
11.131864,13.599603,train,non-churn
41.86438,13.193651,train,non-churn
45.7541,7.896634,train,non-churn
-1.3454105,-22.39976,train,non-churn
-19.798431,-27.942265,train,churn
-19.771528,-24.302998,train,non-churn
-12.534232,-1.5769111,train,non-churn
-8.5177555,-25.787676,train,non-churn
-13.752691,33.578876,train,non-churn
68.10552,2.3899934,train,churn
-1.1574289,29.281649,train,non-churn
-12.945199,14.837475,train,non-churn
-53.633488,-10.4292345,train,churn
-22.370907,-23.354237,train,non-churn
-3.7862399,-15.877573,train,non-churn
50.602066,17.310263,train,non-churn
44.75098,-6.3973494,train,non-churn
-40.262547,-19.887459,train,non-churn
31.51435,17.97367,train,non-churn
57.78077,19.137625,train,non-churn
58.442947,15.856693,train,non-churn
-13.099513,-1.8369893,train,non-churn
-26.976315,9.425458,train,non-churn
17.187906,-8.308428,train,non-churn
-29.161865,-5.8021803,train,non-churn
54.99503,3.4164157,train,non-churn
55.403633,24.540798,train,non-churn
-25.63656,3.7060869,train,non-churn
46.62853,11.3868885,train,non-churn
-16.5794,-38.885303,train,churn
-10.462714,28.818838,train,non-churn
-19.051605,-18.501398,train,non-churn
48.803165,-4.6541095,train,non-churn
49.931572,5.623478,train,non-churn
-2.2478707,12.715673,train,non-churn
-25.10739,8.0039625,train,non-churn
-1.3597646,-18.080645,train,non-churn
-39.79965,-2.3437846,train,non-churn
-5.2701993,28.537682,train,non-churn
-8.903528,-21.815308,train,non-churn
67.8286,12.346612,train,non-churn
-2.1872249,13.674416,train,non-churn
-24.421696,-24.792162,train,non-churn
45.90357,-7.889141,train,non-churn
-1.9470181,-22.632942,train,non-churn
0.34847182,21.022738,train,non-churn
-52.904167,-3.076541,train,non-churn
-10.756563,22.342825,train,non-churn
-27.910122,6.469232,train,non-churn
11.061541,-9.397681,train,churn
51.654514,-4.954729,train,non-churn
43.29326,8.797322,train,non-churn
13.256949,-16.106548,train,non-churn
-50.40855,4.0953608,train,non-churn
-7.415926,-11.378498,train,non-churn
19.282352,9.003919,train,non-churn
13.607032,-21.53518,train,non-churn
19.050085,-20.496834,train,non-churn
9.929265,-12.985023,train,non-churn
-5.828697,-10.784628,train,non-churn
-2.8837614,-2.7694747,train,non-churn
-32.402943,-18.763262,train,non-churn
56.63336,-17.23479,train,non-churn
-0.6893671,-11.790331,train,non-churn
-7.406941,-3.8655553,train,non-churn
-6.9724545,-23.094868,train,non-churn
42.750145,5.5233326,train,non-churn
-0.7983585,-16.523129,train,non-churn
-34.49438,-1.6540643,train,non-churn
15.685037,0.70309246,train,non-churn
6.1388893,40.963398,train,non-churn
56.196583,-8.016985,train,non-churn
51.580723,4.094715,train,non-churn
-17.277935,14.150373,train,non-churn
-11.021345,-11.287383,train,non-churn
-27.706293,-15.283313,train,non-churn
61.16279,-3.7378173,train,non-churn
-54.843742,8.318986,train,non-churn
9.412562,-19.827301,train,non-churn
46.450268,-10.010659,train,non-churn
-27.178705,11.552491,train,non-churn
-10.671517,-34.19223,train,non-churn
-56.256668,-15.368547,train,churn
-40.370754,15.917332,train,non-churn
-32.44415,5.3432,train,non-churn
41.384644,-0.6674954,train,non-churn
54.18176,22.58784,train,non-churn
0.9853582,-34.89565,train,non-churn
15.885939,7.1185656,train,churn
-31.76297,-12.488733,train,churn
-46.146446,0.7534243,train,non-churn
13.808384,-9.385147,train,non-churn
57.570614,-11.862283,train,non-churn
-39.348522,30.065228,train,non-churn
34.934185,10.054215,train,non-churn
-1.9178437,-24.163769,train,non-churn
-17.493074,14.274048,train,non-churn
38.136395,-2.1891153,train,non-churn
-23.666656,0.5499396,train,non-churn
-9.012926,-15.890653,train,non-churn
-12.593086,7.6599946,train,non-churn
54.19657,-10.257657,train,non-churn
62.971523,-1.9318643,train,non-churn
43.641556,17.841002,train,non-churn
-33.800392,5.7255435,train,non-churn
-9.054236,20.713512,train,non-churn
21.685837,-0.5489576,train,non-churn
-29.85866,30.508211,train,non-churn
67.88524,11.14481,train,non-churn
-17.218872,25.700037,train,non-churn
-40.52501,18.247591,train,non-churn
1.4180541,-5.9912634,train,non-churn
59.784405,-1.4063803,train,non-churn
7.6891794,7.36662,train,non-churn
-50.57741,-0.4212083,train,churn
40.20423,-14.423647,train,non-churn
-4.5322957,22.320574,train,non-churn
-13.182103,27.724823,train,non-churn
-6.6363754,-19.372677,train,non-churn
-18.335321,13.451201,train,non-churn
-11.269031,-9.321282,train,churn
-28.867016,-10.951613,train,non-churn
65.17375,1.7426034,train,non-churn
57.122036,-8.056529,train,non-churn
32.49007,16.978935,train,non-churn
6.5565114,11.657934,train,non-churn
-11.934984,-7.613067,train,non-churn
-2.0718405,-31.771942,train,non-churn
-2.229096,19.349674,train,non-churn
-39.317524,-3.4297767,train,non-churn
-39.127563,11.03495,train,churn
-2.7826355,12.16848,train,non-churn
-3.7523842,4.2933803,train,non-churn
71.752106,5.808285,train,churn
-29.272728,20.788652,train,non-churn
-41.6016,-11.37532,train,non-churn
-15.305443,24.508648,train,non-churn
52.395813,25.805084,train,non-churn
53.973366,6.8449063,train,non-churn
45.5627,-7.2660227,train,non-churn
54.25763,-1.7511263,train,non-churn
-15.750843,5.140443,train,non-churn
-36.18321,17.775518,train,non-churn
-20.528965,-30.47351,train,non-churn
-40.466175,7.4935246,train,non-churn
-9.001477,10.383024,train,non-churn
-6.4916043,-12.199603,train,non-churn
52.72719,19.476568,train,non-churn
74.263336,10.15066,train,non-churn
54.53953,-7.256033,train,non-churn
-26.072626,3.7639694,train,non-churn
-3.0996523,-21.562119,train,non-churn
-36.332104,-11.063616,train,non-churn
-13.45407,-40.340656,train,churn
-36.748104,11.026593,train,non-churn
0.72566205,-33.161453,train,non-churn
-25.850595,-23.170868,train,non-churn
48.365562,-6.965532,train,non-churn
-16.180973,-14.312117,train,non-churn
-21.81353,-18.951273,train,non-churn
45.16544,-13.558108,train,non-churn
-7.2909174,-8.848996,train,non-churn
-29.077854,-2.832229,train,non-churn
11.929954,-13.831326,train,non-churn
-10.895608,-35.4923,train,non-churn
-3.928963,17.929367,train,non-churn
-20.432673,3.2074819,train,churn
-36.101765,-2.2190409,train,non-churn
-2.4546027,-31.656038,train,non-churn
-5.508918,8.091348,train,non-churn
57.261177,17.168009,train,non-churn
35.298763,-8.978802,train,non-churn
68.32377,15.93666,train,non-churn
56.663113,1.1767718,train,non-churn
-23.468966,30.876884,train,non-churn
3.9982228,30.672274,train,non-churn
12.800396,-0.4115276,train,non-churn
-42.10635,-28.087309,train,non-churn
48.98684,-16.19528,train,non-churn
-25.082588,1.1391944,train,churn
13.83991,-10.073401,train,non-churn
-8.360098,26.986258,train,non-churn
-28.783773,-32.070866,train,non-churn
0.3376564,17.279593,train,non-churn
-21.982965,16.510927,train,non-churn
7.143714,4.317616,train,non-churn
-9.654093,-22.086535,train,non-churn
42.00208,-5.267273,train,non-churn
-18.651768,-38.06336,train,churn
5.5165415,-22.668686,train,non-churn
-39.651855,-15.231761,train,non-churn
21.125172,-13.634205,train,non-churn
-5.742486,27.786407,train,non-churn
13.924771,5.809786,train,non-churn
50.66503,2.6395147,train,non-churn
-18.807709,-10.894713,train,non-churn
-10.193694,10.4564295,train,non-churn
-26.297003,-21.530233,train,non-churn
-25.102531,-35.675655,train,churn
54.516193,-5.156786,train,non-churn
-32.111263,-27.693897,train,non-churn
8.565718,23.901085,train,non-churn
47.6959,13.883475,train,non-churn
-17.316345,20.387577,train,non-churn
1.1790364,-4.606431,train,non-churn
-9.106998,12.320884,train,non-churn
-23.255817,14.66769,train,non-churn
18.10435,11.741199,train,non-churn
-18.27645,21.215551,train,non-churn
13.192668,-1.3034021,train,non-churn
-24.758081,-6.8160195,train,non-churn
47.075768,6.354933,train,non-churn
47.993515,10.543577,train,non-churn
6.0280433,-13.842718,train,non-churn
-16.752203,16.903872,train,non-churn
-44.431366,-27.198444,train,non-churn
-24.306196,-1.3170466,train,non-churn
57.090687,1.5253211,train,churn
6.7424498,26.972021,train,churn
-17.227762,10.749452,train,non-churn
12.105167,-23.611334,train,non-churn
45.399715,-8.94983,train,non-churn
-29.597944,-24.573606,train,non-churn
44.694176,10.23749,train,non-churn
-44.751133,9.516366,train,churn
11.82724,19.998146,train,non-churn
-1.6262578,-5.678146,train,non-churn
-47.775745,5.186667,train,churn
4.817118,-30.360695,train,churn
48.420074,-17.547003,train,non-churn
-0.16536166,34.94588,train,non-churn
67.65732,-10.65897,train,non-churn
55.45321,16.732517,train,non-churn
16.563572,0.9065868,train,churn
-20.363329,-3.5554101,train,non-churn
64.02462,5.757172,train,non-churn
-50.846348,-12.008122,train,churn
-4.098475,-30.961918,train,non-churn
-26.31982,22.150356,train,non-churn
-11.940152,-32.285046,train,non-churn
-34.037506,13.009823,train,non-churn
-11.937489,-14.790232,train,non-churn
-3.9608884,-15.82871,train,non-churn
17.43099,-6.7692842,train,non-churn
-43.550934,-22.859009,train,non-churn
-15.037189,-14.689952,train,non-churn
-1.7348208,-24.946796,train,non-churn
45.794075,17.623043,train,non-churn
44.523323,-20.264109,train,non-churn
-32.949726,6.091254,train,non-churn
-32.285297,17.59489,train,non-churn
-15.172879,24.44625,train,non-churn
-31.784994,-12.301163,train,churn
-5.6684103,-14.594589,train,non-churn
-20.944468,-33.516106,train,non-churn
59.337494,8.272423,train,non-churn
-22.833315,-18.305489,train,non-churn
16.25294,-21.65913,train,non-churn
-40.3984,-13.143143,train,non-churn
-10.157676,-17.559546,train,non-churn
-32.282253,-28.779234,train,non-churn
37.647865,9.155031,train,churn
-27.227072,-14.182804,train,non-churn
-39.705124,10.809778,train,churn
-24.749285,1.0344985,train,non-churn
-46.521103,-6.6699204,train,non-churn
-13.572784,15.113622,train,non-churn
-22.549799,-4.215211,train,non-churn
15.990403,-9.3171425,train,non-churn
54.53157,24.050438,train,non-churn
-19.307827,-4.721899,train,non-churn
-48.626225,-20.65337,train,non-churn
-13.026196,19.867554,train,non-churn
58.55945,-5.218965,train,non-churn
57.083237,14.897616,train,non-churn
-48.451347,-3.8696182,train,non-churn
-53.200542,-3.3325174,train,non-churn
54.353783,7.236421,train,churn
-4.694697,18.472662,train,non-churn
